sampleSize,hybridSort,keycomp
1414,3147863,126408
1415,3179068,126585
1416,3199952,126761
1417,3067671,126941
1418,3148294,127120
1419,3114154,127299
1420,3977877,127477
1421,4157014,127656
1422,3834583,127834
1423,3994348,128012
1424,3935845,128189
1425,3990971,128370
1426,4211997,128550
1427,3957675,128730
1428,4184896,128909
1429,6838279,129089
1430,4742625,129268
1431,3898969,129447
1432,3956870,129625
1433,3979303,129807
1434,4172942,129988
1435,4132696,130169
1436,3235120,130349
1437,3244088,130530
1438,3245269,130710
1439,3189142,130890
1440,3290795,131069
1441,3241557,131252
1442,3334934,131434
1443,3299446,131616
1444,3825912,131797
1445,3874431,131979
1446,3278647,132160
1447,3275508,132341
1448,3362547,132521
1449,3361692,132705
1450,3292417,132888
1451,3314400,133071
1452,3386900,133253
1453,3357404,133436
1454,4057694,133618
1455,4161347,133800
1456,4364237,133981
1457,4014955,134166
1458,4064270,134350
1459,4010783,134534
1460,4080648,134717
1461,4307498,134901
1462,4172015,135084
1463,4065126,135267
1464,4226201,135449
1465,5679620,135635
1466,6908604,135820
1467,7018539,136005
1468,6557687,136189
1469,6201485,136374
1470,5393374,136558
1471,5499820,136742
1472,5671948,136925
1473,6609162,137112
1474,6542799,137298
1475,6546811,137484
1476,6509893,137669
1477,5032535,137855
1478,3559043,138040
1479,3549918,138225
1480,3334995,138409
1481,3848375,138597
1482,5233426,138784
1483,4130787,138971
1484,4079438,139157
1485,4244756,139344
1486,3825574,139530
1487,3944423,139716
1488,3897199,139901
1489,3181671,140090
1490,5867777,140278
1491,4531615,140466
1492,4102253,140653
1493,4549160,140841
1494,3745766,141028
1495,5698259,141215
1496,3895892,141401
1497,3932863,141591
1498,3884053,141780
1499,3672320,141969
1500,4490278,142157
1501,4461440,142346
1502,4577353,142534
1503,4442299,142722
1504,4477946,142909
1505,4490856,143100
1506,4374188,143290
1507,4438838,143480
1508,4417636,143669
1509,4406808,143859
1510,4500621,144048
1511,4572032,144237
1512,4441381,144425
1513,4539200,144617
1514,4468689,144808
1515,4562920,144999
