sampleSize,mergeSort,keycomp
929,1511592,6584
930,1395792,6592
931,1440822,6600
932,1404019,6607
933,1375844,6615
934,1353686,6622
935,1376913,6629
936,1354035,6635
937,1353865,6643
938,1410317,6650
939,1372522,6657
940,1712239,6663
941,2283420,6670
942,2370148,6676
943,2002276,6682
944,1524435,6687
945,1506999,6695
946,1516521,6702
947,1536823,6709
948,1564662,6715
949,1414423,6722
950,1384079,6728
951,1326685,6734
952,1393881,6739
953,1352406,6746
954,1372878,6752
955,1384288,6758
956,1405822,6763
957,1375326,6769
958,1380898,6774
959,1389143,6779
960,1352908,6783
961,1359573,6792
962,1368733,6800
963,1397640,6808
964,1370246,6815
965,1357820,6823
966,1362321,6830
967,1734455,6837
968,1822443,6843
969,1761241,6851
970,1891209,6858
971,1885664,6865
972,1833453,6871
973,1855889,6878
974,1881263,6884
975,1850050,6890
976,1836945,6895
977,1764104,6903
978,1705213,6910
979,1417090,6917
980,1384466,6923
981,1387501,6930
982,1384672,6936
983,1385820,6942
984,1377584,6947
985,1377880,6954
986,1402983,6960
987,1393413,6966
988,1713330,6971
989,1979448,6977
990,1471202,6982
991,1455078,6987
992,1558703,6991
993,1466493,6999
994,1439257,7006
995,1463191,7013
996,1451577,7019
997,1482874,7026
998,1460325,7032
999,1542472,7038
1000,1418029,7043
1001,1393950,7050
1002,1399160,7056
1003,1406389,7062
1004,1388572,7067
1005,1385771,7073
1006,1383175,7078
1007,1357350,7083
1008,1407109,7087
1009,1390324,7094
1010,1483211,7100
1011,1407834,7106
1012,1407398,7111
1013,1473560,7117
1014,2073224,7122
1015,1448591,7127
1016,1515009,7131
1017,1438537,7137
1018,1461131,7142
1019,1519719,7147
1020,1525870,7151
1021,1542571,7156
1022,1452874,7160
1023,1536498,7164
1024,1501374,7167
1025,1511568,7180
1026,1504682,7192
1027,1584599,7204
1028,1460005,7215
1029,1537096,7227
1030,1415123,7238
1031,1468105,7249
1032,1437729,7259
1033,1464237,7271
